Data,Clic,Impressioni,CPC medio,Costo
mar 5 mag 2026,74,1.297,"0,33 €","24,42 €"
mer 6 mag 2026,112,2.650,"0,19 €","20,83 €"
gio 7 mag 2026,65,1.861,"0,20 €","12,88 €"
ven 8 mag 2026,189,3.084,"0,08 €","15,07 €"
sab 9 mag 2026,454,10.100,"0,04 €","16,84 €"
dom 10 mag 2026,196,2.955,"0,06 €","12,11 €"
lun 11 mag 2026,199,3.290,"0,09 €","18,88 €"
mar 12 mag 2026,93,1.947,"0,11 €","10,34 €"
mer 13 mag 2026,110,1.671,"0,19 €","21,02 €"
gio 14 mag 2026,115,1.978,"0,08 €","9,74 €"
ven 15 mag 2026,124,1.696,"0,14 €","17,43 €"
sab 16 mag 2026,147,1.930,"0,10 €","15,20 €"
dom 17 mag 2026,176,2.102,"0,11 €","18,70 €"
lun 18 mag 2026,96,1.217,"0,10 €","9,31 €"
mar 19 mag 2026,123,1.382,"0,10 €","12,78 €"
mer 20 mag 2026,108,1.274,"0,12 €","12,68 €"
gio 21 mag 2026,113,1.446,"0,14 €","16,26 €"
ven 22 mag 2026,97,1.268,"0,16 €","15,53 €"
sab 23 mag 2026,172,2.640,"0,09 €","15,04 €"
dom 24 mag 2026,241,4.669,"0,07 €","17,62 €"
lun 25 mag 2026,261,4.339,"0,05 €","13,05 €"
mar 26 mag 2026,185,2.833,"0,09 €","16,16 €"
mer 27 mag 2026,188,2.779,"0,05 €","8,59 €"
gio 28 mag 2026,211,2.748,"0,08 €","16,91 €"
ven 29 mag 2026,251,4.184,"0,05 €","12,93 €"
sab 30 mag 2026,193,2.794,"0,06 €","11,70 €"
dom 31 mag 2026,197,2.772,"0,09 €","17,55 €"
lun 1 giu 2026,74,989,"0,11 €","7,90 €"
mar 2 giu 2026,189,2.209,"0,11 €","20,09 €"
mer 3 giu 2026,174,2.184,"0,09 €","16,24 €"
gio 4 giu 2026,243,3.205,"0,08 €","19,24 €"
ven 5 giu 2026,156,2.412,"0,09 €","14,02 €"
sab 6 giu 2026,195,2.426,"0,08 €","16,37 €"
dom 7 giu 2026,218,3.428,"0,07 €","15,55 €"
lun 8 giu 2026,176,2.338,"0,07 €","11,83 €"
mar 9 giu 2026,147,1.994,"0,13 €","19,07 €"
mer 10 giu 2026,312,4.942,"0,05 €","15,57 €"
gio 11 giu 2026,202,2.881,"0,06 €","12,24 €"
ven 12 giu 2026,192,2.210,"0,10 €","19,05 €"
sab 13 giu 2026,254,3.346,"0,05 €","11,60 €"
dom 14 giu 2026,298,4.337,"0,08 €","22,45 €"
lun 15 giu 2026,260,3.874,"0,04 €","11,06 €"
mar 16 giu 2026,186,2.368,"0,07 €","12,82 €"
mer 17 giu 2026,329,5.275,"0,06 €","18,89 €"
gio 18 giu 2026,212,3.123,"0,08 €","16,31 €"
ven 19 giu 2026,225,3.170,"0,04 €","9,50 €"
sab 20 giu 2026,377,5.778,"0,05 €","19,90 €"
dom 21 giu 2026,285,3.849,"0,07 €","19,42 €"
lun 22 giu 2026,226,2.620,"0,06 €","14,04 €"
mar 23 giu 2026,251,2.646,"0,06 €","14,46 €"
mer 24 giu 2026,349,4.057,"0,04 €","14,46 €"
gio 25 giu 2026,302,3.374,"0,05 €","15,89 €"
ven 26 giu 2026,305,3.203,"0,04 €","13,44 €"
sab 27 giu 2026,368,3.756,"0,04 €","15,44 €"
dom 28 giu 2026,305,3.599,"0,04 €","12,34 €"
lun 29 giu 2026,363,4.540,"0,04 €","15,36 €"
mar 30 giu 2026,373,4.928,"0,04 €","13,23 €"
mer 1 lug 2026,275,3.369,"0,06 €","15,93 €"
gio 2 lug 2026,284,3.757,"0,06 €","16,94 €"
ven 3 lug 2026,228,3.085,"0,07 €","16,25 €"
sab 4 lug 2026,256,2.819,"0,06 €","16,24 €"
dom 5 lug 2026,280,3.113,"0,06 €","15,63 €"
lun 6 lug 2026,239,2.542,"0,06 €","13,37 €"
mar 7 lug 2026,121,1.561,"0,09 €","10,69 €"
mer 8 lug 2026,184,1.981,"0,07 €","13,75 €"
gio 9 lug 2026,231,2.402,"0,07 €","15,60 €"
ven 10 lug 2026,284,3.251,"0,06 €","15,79 €"
sab 11 lug 2026,315,3.586,"0,06 €","19,27 €"
dom 12 lug 2026,193,2.444,"0,07 €","13,01 €"
lun 13 lug 2026,321,4.602,"0,05 €","16,04 €"
mar 14 lug 2026,197,1.799,"0,06 €","11,47 €"
mer 15 lug 2026,247,2.674,"0,06 €","15,49 €"
gio 16 lug 2026,246,2.387,"0,06 €","14,77 €"
ven 17 lug 2026,243,2.748,"0,07 €","17,74 €"
sab 18 lug 2026,178,1.989,"0,09 €","15,16 €"
dom 19 lug 2026,217,2.545,"0,07 €","15,66 €"
lun 20 lug 2026,176,1.989,"0,08 €","13,55 €"
mar 21 lug 2026,222,2.318,"0,07 €","15,28 €"
mer 22 lug 2026,185,2.503,"0,09 €","16,99 €"
gio 23 lug 2026,182,2.712,"0,08 €","14,30 €"
ven 24 lug 2026,154,2.059,"0,08 €","13,01 €"
sab 25 lug 2026,166,2.392,"0,09 €","14,14 €"
dom 26 lug 2026,103,1.533,"0,14 €","14,38 €"
lun 27 lug 2026,190,2.514,"0,08 €","15,10 €"
mar 28 lug 2026,173,2.607,"0,07 €","12,47 €"
mer 29 lug 2026,265,3.076,"0,06 €","15,65 €"
gio 30 lug 2026,179,1.899,"0,06 €","10,39 €"
ven 31 lug 2026,268,3.798,"0,05 €","12,34 €"
sab 1 ago 2026,213,3.329,"0,08 €","16,37 €"
dom 2 ago 2026,208,2.751,"0,07 €","15,34 €"
